loss,ROC,accuracy,precision,recall,f1,model
0.505387222994182,0.8230932354927063,0.75,0.7005650401115417,0.7514124512672424,0.6937045454978943,DGAT
0.5078182457867315,0.8294491767883301,0.758474588394165,0.672316312789917,0.75,0.6824051141738892,GCN
0.4901461747743316,0.8315678238868713,0.7754237055778503,0.7019774317741394,0.7358757257461548,0.6942695379257202,GAT
0.2407,0.8835,0.8958,0.1270,0.5010,0.1926,VGG16
